timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,power,weight_label
6.3400,0.0000,-0.0001,0.0003,0.1046,0.8143,-0.5676,-0.0625,0.0003,-0.0039,0.0126,0.0156,-0.1942,0.6300,-0.0098,-0.0258,-0.0208,-0.0294,0
6.3600,0.0000,-0.0002,0.0004,0.1050,0.8142,-0.5676,-0.0626,-0.0009,-0.0039,0.0087,-0.0592,-0.0016,-0.1948,-0.0062,-0.0145,-0.0307,-0.0401,0
6.3800,0.0000,-0.0003,0.0007,0.1048,0.8142,-0.5676,-0.0629,-0.0013,-0.0050,0.0153,-0.0217,-0.0538,0.3283,0.0000,0.0000,0.0000,-0.0437,0
6.4000,0.0000,-0.0003,0.0008,0.1045,0.8140,-0.5679,-0.0630,0.0002,-0.0022,0.0055,0.0776,0.1408,-0.4869,-0.0302,0.0311,0.0226,-0.0243,0
6.4200,0.0000,-0.0004,0.0014,0.1026,0.8140,-0.5682,-0.0634,0.0019,-0.0063,0.0258,0.0820,-0.2050,1.0139,-0.0109,0.1379,0.1289,-0.0340,0
6.4400,0.0003,-0.0007,0.0022,0.1022,0.8131,-0.5696,-0.0628,0.0134,-0.0135,0.0418,0.5779,-0.3622,0.7993,-0.1603,-0.0005,0.0641,-0.0866,0
6.4600,0.0004,-0.0008,0.0027,0.1028,0.8132,-0.5694,-0.0626,0.0053,-0.0029,0.0261,-0.4090,0.5300,-0.7867,0.0147,-0.0481,-0.0324,-0.0529,0
6.4800,0.0004,-0.0008,0.0028,0.1027,0.8132,-0.5695,-0.0626,0.0008,-0.0009,0.0065,-0.2220,0.1018,-0.9760,0.0000,0.0000,0.0000,-0.0153,0
6.5000,0.0005,-0.0009,0.0034,0.1019,0.8131,-0.5696,-0.0629,0.0055,-0.0044,0.0279,0.2342,-0.1766,1.0674,-0.0051,0.0708,0.0574,-0.0115,0
6.5200,0.0007,-0.0008,0.0041,0.0991,0.8133,-0.5698,-0.0636,0.0075,0.0009,0.0339,0.0998,0.2661,0.3029,0.0253,0.2172,0.1856,0.0202,0
6.5400,0.0006,-0.0008,0.0041,0.0993,0.8134,-0.5695,-0.0638,-0.0028,0.0010,0.0012,-0.5159,0.0051,-1.6394,0.0000,0.0000,0.0000,0.0094,0
