timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,power,weight_label
6.34,0.0,-0.0001,0.0003,0.1046,0.8143,-0.5676,-0.0625,0.0,-0.0039,0.0087,0.0,-0.0016,0.0,0.0,0.0,0.0,-0.0294,0
6.36,0.0,-0.0002,0.0004,0.105,0.8142,-0.5676,-0.0626,0.0,-0.0039,0.0087,0.0,-0.0016,0.0,-0.0062,0.0,0.0,-0.0294,0
6.38,0.0,-0.0003,0.0007,0.1048,0.8142,-0.5676,-0.0629,0.0002,-0.0039,0.0126,0.0156,-0.0538,0.3283,-0.0098,0.0,0.0,-0.034,0
6.4,0.0,-0.0003,0.0008,0.1045,0.814,-0.5679,-0.063,0.0002,-0.005,0.0153,0.0776,-0.0538,0.3283,-0.0109,0.0,0.0226,-0.0401,0
6.42,0.0,-0.0004,0.0014,0.1026,0.814,-0.5682,-0.0634,0.0019,-0.005,0.0258,0.0776,-0.0538,0.3283,-0.0109,0.0,0.0226,-0.0437,0
6.44,0.0003,-0.0007,0.0022,0.1022,0.8131,-0.5696,-0.0628,0.0019,-0.0029,0.0258,0.0776,0.1018,-0.4869,-0.0109,0.0,0.0226,-0.034,0
6.46,0.0004,-0.0008,0.0027,0.1028,0.8132,-0.5694,-0.0626,0.0053,-0.0044,0.0261,0.082,-0.1766,0.7993,-0.0051,0.0,0.0574,-0.034,0
6.48,0.0004,-0.0008,0.0028,0.1027,0.8132,-0.5695,-0.0626,0.0055,-0.0029,0.0279,0.0998,0.1018,0.3029,0.0,0.0,0.0574,-0.0153,0
6.5,0.0005,-0.0008,0.0034,0.1019,0.8131,-0.5696,-0.0629,0.0053,-0.0009,0.0261,-0.222,0.1018,-0.7867,0.0,0.0,0.0,-0.0115,0
6.52,0.0005,-0.0008,0.0041,0.0991,0.8133,-0.5698,-0.0636,0.0008,0.0009,0.0106,-0.222,0.1018,0.3029,0.0,0.0,0.0,0.0094,0
