timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,power,weight_label
14.44,-0.0001,-0.0013,0.0004,0.3624,0.694,-0.2501,0.5697,0.0,-0.0091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0532,0.95
14.46,-0.0001,-0.0014,0.0005,0.3648,0.6953,-0.2471,0.5678,0.0,-0.0095,0.0,-0.0731,0.0,0.4245,0.0,-0.0152,-0.0175,-0.0945,0.95
14.48,-0.0001,-0.0018,0.0005,0.3654,0.6952,-0.2469,0.5677,-0.0007,-0.0183,0.0046,-0.0731,-0.4575,0.4245,-0.1745,-0.0152,-0.0423,-0.1726,0.95
14.5,-0.0001,-0.002,0.0005,0.3645,0.6946,-0.2482,0.5684,-0.0005,-0.0095,-0.002,0.009,0.4387,-0.0934,0.0508,0.0233,-0.0175,-0.0945,0.95
14.52,-0.0001,-0.0031,0.0005,0.3633,0.6935,-0.2512,0.5692,-0.0007,-0.0183,-0.002,-0.0731,-0.4575,-0.0934,0.0508,0.0233,-0.0217,-0.1726,0.95
14.54,-0.0001,-0.0031,0.0005,0.364,0.6943,-0.2497,0.5684,-0.0012,-0.0095,0.0046,0.009,0.4387,-0.0934,-0.1745,0.0298,-0.0217,-0.0945,0.95
14.56,-0.0003,-0.0042,0.0005,0.365,0.6962,-0.2489,0.5657,-0.0059,-0.0282,0.0046,0.009,-1.0076,-0.0934,-0.2044,0.0298,-0.0457,-0.1996,0.95
14.58,-0.0004,-0.0043,0.0005,0.3641,0.6958,-0.2508,0.5661,-0.0059,-0.008,0.0055,0.009,1.0905,-0.6555,-0.0161,0.0298,-0.0217,-0.09,0.95
14.6,-0.0009,-0.0049,0.0006,0.363,0.6947,-0.2528,0.5672,-0.0089,-0.0282,0.0074,-0.4151,-1.0076,0.4375,-0.0161,-0.0333,-0.0293,-0.1996,0.95
14.62,-0.001,-0.005,0.0008,0.363,0.6944,-0.2527,0.5677,-0.0059,-0.008,0.0074,0.1481,1.0905,0.4375,-0.0161,-0.0333,-0.0293,-0.0924,0.95
14.64,-0.0015,-0.0059,0.0011,0.3653,0.6943,-0.2503,0.5673,-0.0058,-0.0073,0.0074,0.0661,0.1585,-0.1004,0.0,-0.0333,0.0,-0.0924,0.95
14.66,-0.0016,-0.006,0.0012,0.3653,0.6942,-0.2501,0.5675,-0.0058,-0.0073,0.0036,0.0661,0.1585,-0.1004,0.0,0.0,0.0,-0.0924,0.95
14.68,-0.0017,-0.0061,0.0012,0.365,0.6942,-0.2503,0.5676,-0.0055,-0.0169,0.0016,0.0661,0.1585,-0.1004,0.0,0.0,0.0,-0.1691,0.95
14.7,-0.0019,-0.0065,0.0012,0.365,0.6941,-0.2507,0.5676,-0.0055,-0.0169,0.0014,0.0661,0.1585,-0.2259,0.0,0.0,0.0,-0.1691,0.95
14.72,-0.002,-0.0069,0.0012,0.365,0.6942,-0.2509,0.5674,-0.0055,-0.0207,-0.0031,0.0661,0.1585,-0.1004,0.0,0.0,0.0,-0.183,0.95
14.74,-0.0022,-0.0083,0.0005,0.3657,0.6955,-0.2512,0.5652,-0.0082,-0.0225,-0.0136,-0.3184,-0.827,-0.2259,0.0,0.079,0.0,-0.2935,0.95
14.76,-0.0023,-0.0088,0.0002,0.3654,0.6958,-0.2518,0.5647,-0.0055,-0.0324,-0.018,0.1919,0.1919,-0.2259,-0.0285,0.0941,-0.0032,-0.4165,0.95
14.78,-0.0024,-0.0104,-0.0007,0.363,0.6966,-0.2547,0.564,-0.0082,-0.0724,-0.0358,-0.305,-2.0975,-1.1867,-0.0285,0.2161,-0.0104,-0.4447,0.95
14.8,-0.0025,-0.011,-0.001,0.3624,0.697,-0.2555,0.5636,-0.0039,-0.0324,-0.018,0.231,2.2563,1.1122,-0.0553,0.1076,-0.0104,-0.4165,0.95
