timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,power,weight_label
7.3,-0.0005,-0.0001,0.0,0.3537,0.6626,-0.3412,0.5652,-0.0092,-0.0043,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,-0.0233,2
7.32,-0.0007,-0.0002,0.0,0.3539,0.6626,-0.3412,0.5651,-0.0251,-0.0058,0.0012,-0.2183,0.0,0.0599,0.0,0.0,0.0,-0.0496,2
7.34,-0.0012,-0.0004,0.0001,0.3538,0.6623,-0.3415,0.5653,-0.0251,-0.0058,0.0052,-0.2183,0.0744,0.0599,0.0,0.0,0.0,-0.0496,2
7.36,-0.0018,-0.0004,0.0004,0.3537,0.6617,-0.3416,0.5659,-0.0168,-0.0043,0.0052,0.6574,0.0827,-0.0347,0.0,0.0,0.0,-0.0496,2
7.38,-0.0021,-0.0004,0.0005,0.354,0.6616,-0.3406,0.5666,-0.0168,-0.0008,0.0052,0.0867,0.0827,-0.006,-0.0308,0.0,0.0528,-0.0219,2
7.4,-0.0021,-0.0002,0.0005,0.3526,0.6628,-0.3407,0.566,0.0005,0.0103,-0.0048,0.6574,0.3302,-0.2031,-0.0584,0.1324,0.0546,0.0975,2
7.42,-0.0021,0.0,0.0006,0.3514,0.6635,-0.3412,0.5655,0.0022,0.0132,-0.0048,0.6574,0.3302,-0.2031,-0.0354,0.1324,0.0546,0.0975,2
7.44,-0.0011,0.002,0.0006,0.343,0.6674,-0.3427,0.5652,0.0047,0.0132,-0.0048,0.0867,-0.3475,-0.0638,-0.0354,0.1324,0.0528,0.0975,2
7.46,-0.0009,0.0022,0.0006,0.343,0.6667,-0.3424,0.5662,0.009,0.0103,0.0053,0.0867,-0.3475,-0.0638,-0.0354,-0.1166,0.0255,0.0713,2
7.48,-0.0008,0.0022,0.0008,0.3449,0.6656,-0.3412,0.5671,0.0109,0.0132,0.0053,0.2161,0.2123,-0.2276,-0.0354,-0.1166,0.0255,0.0713,2
7.5,-0.0006,0.0023,0.0008,0.3466,0.6651,-0.3401,0.5673,0.0109,0.0132,0.0053,-0.0541,-0.0128,-0.23,-0.0354,-0.1166,0.0255,0.0713,2
7.52,-0.0002,0.0029,0.0008,0.3452,0.6657,-0.34,0.5675,0.0111,0.0199,0.0007,-0.0541,-0.0128,-0.23,-0.0598,0.0697,0.1242,0.179,2
7.54,0.0003,0.0034,0.0007,0.3429,0.6669,-0.3409,0.567,0.0111,0.0199,-0.0099,-0.0541,-0.0128,-0.23,-0.0598,0.0697,0.1242,0.179,2
7.56,0.0005,0.0038,0.0005,0.3413,0.6677,-0.3409,0.567,0.0111,0.0199,-0.0099,-0.0541,-0.0128,-0.1924,-0.0598,0.0697,0.1242,0.179,2
7.58,0.0005,0.0039,0.0003,0.3418,0.6683,-0.3401,0.5664,0.0,0.0102,-0.0111,-0.0541,-0.0128,-0.1924,0.0577,0.0668,0.0555,0.1062,2
7.6,0.0005,0.004,0.0001,0.3419,0.6689,-0.3396,0.566,0.0,0.0102,-0.0104,-0.0408,0.1471,0.0626,0.0577,0.0668,0.0555,0.1062,2
7.62,0.0005,0.0042,-0.0002,0.3418,0.6698,-0.3389,0.5654,0.0,0.0102,-0.0104,0.0438,0.1471,0.1272,0.0577,0.0405,0.0555,0.1062,2
7.64,0.0006,0.005,-0.0003,0.338,0.6715,-0.3392,0.5655,0.0058,0.0171,-0.0077,0.0545,0.2547,0.1272,0.0186,0.0668,0.1032,0.1495,2
7.66,0.0007,0.0053,-0.0003,0.337,0.672,-0.3389,0.5657,0.0067,0.0393,-0.0037,0.0438,0.2547,-0.019,0.0137,0.1526,0.2591,0.4436,2
7.68,0.0014,0.0066,-0.0004,0.3347,0.6739,-0.3378,0.5654,0.0353,0.053,-0.0037,0.3321,1.4551,-0.019,-0.0288,0.1649,0.2716,0.4989,2
7.7,0.0021,0.0076,-0.0003,0.3325,0.6757,-0.3368,0.5652,0.0361,0.0619,0.0006,0.0438,-0.4441,-0.019,-0.0288,0.1528,0.2716,0.5054,2
7.72,0.0046,0.011,-0.0003,0.3253,0.6806,-0.3342,0.565,0.0719,0.1038,0.0006,1.4299,2.2407,-0.019,-0.0553,0.1649,0.5516,0.7965,2
7.74,0.0061,0.0131,-0.0001,0.3189,0.682,-0.3342,0.5671,0.0838,0.1246,0.0004,0.0396,-0.4441,-0.1331,-0.0553,0.1685,0.5516,0.5054,2
7.76,0.0096,0.0181,0.0006,0.3078,0.6856,-0.3324,0.5698,0.0891,0.1546,0.0022,0.2661,1.4994,0.0934,-0.2112,0.1859,0.6372,1.7721,2
7.78,0.0113,0.0206,0.0006,0.3042,0.6878,-0.3306,0.5701,0.0891,0.1546,0.0022,0.2661,1.4994,0.0934,-0.3863,0.1859,0.6372,1.7721,2
7.8,0.0131,0.0237,0.0006,0.298,0.6901,-0.3289,0.5716,0.0891,0.1779,0.0004,0.2661,1.4994,-0.5442,-0.2466,0.2584,0.6372,1.7721,2
7.82,0.0163,0.0302,0.0004,0.2853,0.6943,-0.3263,0.5745,0.0891,0.1779,-0.0087,0.2661,1.4994,-0.6595,-0.2466,0.2584,0.6372,1.7721,2
7.84,0.0178,0.0338,0.0,0.2789,0.6967,-0.3253,0.5754,0.0891,0.2035,-0.0218,0.2661,1.4994,-0.5442,-0.2466,0.2584,0.6372,1.7721,2
7.86,0.0208,0.0415,-0.0011,0.2663,0.7013,-0.3215,0.5778,0.1245,0.3275,-0.0412,2.8835,8.6473,-0.6595,-0.2466,0.3747,1.2484,6.6363,2
7.88,0.0221,0.0456,-0.002,0.2627,0.7037,-0.3176,0.5787,0.0766,0.2612,-0.0412,-3.2699,-7.4805,-0.6595,-0.2259,0.2862,0.8745,0.1031,2
7.9,0.0246,0.0548,-0.0046,0.2486,0.7135,-0.3126,0.5757,0.0669,0.2856,-0.0412,-0.177,1.2225,0.8287,-0.2259,0.2862,0.8933,3.1723,2
7.92,0.0258,0.0601,-0.0046,0.2402,0.7165,-0.3099,0.5769,0.0669,0.2856,-0.0302,-0.177,1.2225,0.883,-0.2259,0.0878,0.8933,3.1723,2
7.94,0.0269,0.0658,-0.0046,0.2316,0.7169,-0.3075,0.5813,0.0591,0.3057,0.0139,-0.177,1.2225,1.2357,-0.2259,-0.0849,0.8933,3.1723,2
7.96,0.029,0.0765,-0.0043,0.2205,0.7176,-0.2999,0.5887,0.0591,0.3057,0.0316,-0.177,1.2225,1.2357,-0.2259,-0.2621,0.8933,3.1723,2
7.98,0.0298,0.0827,-0.0032,0.2223,0.7161,-0.2916,0.594,0.0556,0.3607,0.0316,-0.177,1.2225,0.883,-0.0056,-0.2621,0.8933,3.1723,2
8.0,0.0318,0.0967,-0.0024,0.2188,0.7182,-0.2814,0.5976,0.0973,0.538,0.0316,2.4861,12.6197,0.3036,-0.0056,-0.2621,1.0094,12.3578,2
8.02,0.0326,0.1039,-0.0022,0.2143,0.7197,-0.2778,0.5991,0.0498,0.4265,0.0142,-2.7037,-11.6187,-0.5957,-0.0056,0.0318,0.8336,-0.6133,2
8.04,0.0347,0.1208,-0.0019,0.1968,0.7242,-0.2696,0.6034,0.0793,0.7029,0.0142,1.4731,19.86,-0.5957,-0.0056,0.0318,1.0094,21.1039,2
8.06,0.0357,0.1293,-0.0019,0.19,0.7261,-0.2655,0.6052,0.0498,0.4466,0.0125,-1.8084,-17.108,-0.2573,-0.0056,0.0318,0.8336,-2.7627,2
8.08,0.0373,0.1472,-0.0015,0.1834,0.7291,-0.2543,0.6084,0.0498,0.4839,0.0125,-0.3722,1.8632,-0.0592,0.027,-0.0307,0.8336,5.6345,2
8.1,0.0382,0.1561,-0.0013,0.1787,0.7302,-0.2499,0.6103,0.0498,0.4839,0.0125,-0.3722,1.8632,-0.0592,0.4223,-0.0782,0.8336,5.6345,2
8.12,0.0389,0.1658,-0.0011,0.1767,0.7319,-0.2427,0.6117,0.0461,0.6287,0.0177,-0.3722,1.8632,-0.0592,0.4223,-0.0922,1.2916,5.6345,2
8.14,0.0406,0.187,0.0004,0.1623,0.734,-0.2226,0.6207,0.0461,0.6287,0.0125,-0.3722,1.8632,-0.2573,0.027,-0.0782,1.8566,5.6345,2
8.16,0.0416,0.1996,0.0012,0.1454,0.7333,-0.2152,0.6283,0.0461,0.6287,0.0177,-0.3722,1.8632,-0.0592,0.4223,-0.341,1.8566,5.6345,2
8.18,0.0431,0.2224,0.0016,0.1257,0.7386,-0.2012,0.631,0.0755,1.059,0.0177,1.4712,25.6464,-0.1286,0.4846,-0.4721,1.8566,40.6557,2
