timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,power,weight_label
33.7000,0.0006,0.0014,0.0004,-0.3217,-0.6967,0.4205,-0.4840,0.0317,0.0677,0.0212,1.5873,3.3845,1.0599,0.2156,-0.3364,0.5653,0.9660,0
33.7200,0.0013,0.0029,0.0003,-0.3258,-0.6985,0.4088,-0.4887,0.0313,0.0795,-0.0047,-0.0238,0.5896,-1.2974,0.9368,-0.7932,0.5316,0.8320,0
33.7400,0.0009,0.0052,0.0008,-0.3302,-0.6958,0.4027,-0.4946,-0.0188,0.1124,0.0244,-2.5016,1.6439,1.4573,0.3402,-0.9176,0.1409,1.3694,0
33.7600,0.0009,0.0067,0.0021,-0.3267,-0.6921,0.4076,-0.4981,-0.0012,0.0739,0.0634,0.8768,-1.9240,1.9526,-0.7778,-0.1289,0.0270,0.7054,0
33.7800,0.0018,0.0091,0.0031,-0.3162,-0.6918,0.4110,-0.5026,0.0490,0.1230,0.0491,2.5100,2.4542,-0.7152,-0.9163,0.2172,0.7276,1.5958,0
33.8000,0.0023,0.0102,0.0027,-0.3137,-0.6944,0.4088,-0.5024,0.0236,0.0517,-0.0193,-1.2672,-3.5650,-3.4228,0.1370,0.1792,0.3610,0.3588,0
33.8200,0.0032,0.0120,0.0002,-0.3124,-0.7044,0.4019,-0.4947,0.0468,0.0925,-0.1222,1.1599,2.0412,-5.1444,1.0639,0.8702,0.4371,1.7791,0
33.8400,0.0032,0.0145,-0.0012,-0.3086,-0.7085,0.4015,-0.4916,-0.0021,0.1228,-0.0701,-2.4474,1.5172,2.6054,0.1061,0.5635,0.2850,1.2139,0
33.8600,0.0024,0.0145,0.0001,-0.3099,-0.7005,0.4131,-0.4925,-0.0393,0.0016,0.0647,-1.8591,-6.0605,6.7386,-1.1055,-0.1510,-0.8720,0.5150,0
33.8800,0.0021,0.0149,0.0004,-0.3113,-0.6994,0.4155,-0.4912,-0.0153,0.0225,0.0144,1.2004,1.0418,-2.5139,-0.1002,0.0538,-0.3033,0.1892,0
33.9000,0.0023,0.0157,-0.0001,-0.3129,-0.7025,0.4111,-0.4894,0.0115,0.0371,-0.0275,1.3375,0.7333,-2.0960,0.5599,0.0751,0.1305,0.4644,0
33.9200,0.0023,0.0172,0.0004,-0.3118,-0.7009,0.4119,-0.4918,-0.0033,0.0747,0.0275,-0.7391,1.8776,2.7498,-0.2466,-0.1719,0.0859,0.9508,0
33.9400,0.0017,0.0214,0.0018,-0.3094,-0.6972,0.4145,-0.4963,-0.0302,0.2125,0.0696,-1.3423,6.8935,2.1076,-0.5922,-0.3202,0.1027,3.7376,0
33.9600,0.0011,0.0236,0.0024,-0.3091,-0.6958,0.4157,-0.4975,-0.0300,0.1095,0.0301,0.0107,-5.1536,-1.9776,-0.1936,-0.1087,-0.0280,0.4500,0
33.9800,-0.0007,0.0306,0.0027,-0.3090,-0.6959,0.4150,-0.4980,-0.0905,0.3501,0.0149,-3.0285,12.0325,-0.7611,0.0290,-0.0445,0.0658,7.9105,0
34.0000,-0.0010,0.0315,0.0026,-0.3092,-0.6963,0.4145,-0.4977,-0.0109,0.0424,-0.0057,3.9822,-15.3876,-1.0260,0.0741,0.0215,0.0032,-0.2739,0
34.0200,-0.0038,0.0457,0.0014,-0.3102,-0.7012,0.4092,-0.4947,-0.1445,0.7135,-0.0621,-6.6817,33.5548,-2.8225,0.7138,0.2437,0.2283,32.0804,0
34.0400,-0.0050,0.0520,0.0013,-0.3078,-0.7008,0.4109,-0.4953,-0.0571,0.3113,-0.0018,4.3702,-20.1066,3.0160,-0.2659,0.0918,0.0890,-3.4607,0
34.0600,-0.0068,0.0655,0.0008,-0.3013,-0.7033,0.4125,-0.4945,-0.0890,0.6779,-0.0235,-1.5932,18.3265,-1.0872,-0.3078,0.4939,0.4228,19.2402,0
34.0800,-0.0074,0.0737,0.0001,-0.2979,-0.7062,0.4108,-0.4939,-0.0324,0.4092,-0.0366,2.8265,-13.4324,-0.6553,0.0889,0.2757,0.3885,-1.5501,0
34.1000,-0.0091,0.0889,-0.0003,-0.2956,-0.7064,0.4072,-0.4978,-0.0852,0.7602,-0.0204,-2.6351,17.5482,0.8098,0.0327,-0.2826,0.5087,21.0052,0
34.1200,-0.0101,0.0957,-0.0005,-0.2952,-0.7067,0.4053,-0.4992,-0.0480,0.3385,-0.0101,1.8597,-21.0838,0.5166,0.0822,-0.1184,0.1846,-3.9107,0
34.1400,-0.0119,0.1042,-0.0002,-0.2991,-0.7037,0.4024,-0.5034,-0.0913,0.4268,0.0132,-2.1684,4.4163,1.1681,0.1517,-0.6909,-0.0527,6.2858,0
34.1600,-0.0155,0.1203,0.0004,-0.3006,-0.6995,0.4027,-0.5081,-0.1783,0.8049,0.0294,-4.3488,18.9051,0.8070,-0.2475,-0.5927,-0.0486,23.9130,0
34.1800,-0.0171,0.1298,-0.0002,-0.2982,-0.7014,0.4000,-0.5091,-0.0833,0.4755,-0.0255,4.7517,-16.4722,-2.7437,0.1077,0.0433,0.4007,-3.4936,0
34.2000,-0.0203,0.1480,-0.0014,-0.2930,-0.7032,0.3990,-0.5104,-0.1568,0.9069,-0.0607,-3.6776,21.5705,-1.7609,-0.1616,0.1741,0.5106,29.1427,0
34.2200,-0.0220,0.1570,-0.0015,-0.2912,-0.7014,0.4002,-0.5129,-0.0839,0.4529,-0.0063,3.6442,-22.7000,2.7195,-0.3228,-0.1571,0.1190,-6.1610,0
34.2400,-0.0248,0.1762,-0.0026,-0.2892,-0.6992,0.3985,-0.5184,-0.1436,0.9564,-0.0556,-2.9820,25.1737,-2.4631,-0.2280,-0.4731,0.3823,34.0227,0
34.2600,-0.0258,0.1860,-0.0039,-0.2881,-0.7008,0.3943,-0.5200,-0.0511,0.4897,-0.0670,4.6235,-23.3345,-0.5714,0.2566,-0.1061,0.4104,-6.8208,0
34.2800,-0.0261,0.1974,-0.0072,-0.2858,-0.7068,0.3858,-0.5195,-0.0110,0.5708,-0.1629,2.0075,4.0570,-4.7966,0.7276,0.1921,0.7485,8.6752,0
34.3000,-0.0263,0.2202,-0.0131,-0.2777,-0.7157,0.3750,-0.5197,-0.0141,1.1406,-0.2955,-0.1591,28.4891,-6.6293,0.6734,0.4606,1.3951,45.6457,0
34.3200,-0.0266,0.2310,-0.0155,-0.2726,-0.7183,0.3724,-0.5207,-0.0136,0.5425,-0.1177,0.0292,-29.9074,8.8892,-0.0101,0.1787,0.6110,-11.9491,0
