timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,power,weight_label
41.2400,-0.0004,-0.0001,0.0004,0.4465,0.6212,-0.3786,0.5209,-0.0181,-0.0043,0.0191,-0.9039,-0.2173,0.9566,-0.0655,-0.2518,-0.0160,-0.0070,.6
41.2600,-0.0006,-0.0001,0.0008,0.4475,0.6195,-0.3782,0.5224,-0.0138,-0.0029,0.0220,0.2137,0.0727,0.1416,-0.0520,-0.2385,-0.0598,-0.0284,.6
41.2800,-0.0008,-0.0002,0.0011,0.4492,0.6186,-0.3772,0.5228,-0.0106,-0.0042,0.0157,0.1623,-0.0671,-0.3137,0.0950,-0.1840,-0.0775,-0.0479,.6
41.3000,-0.0008,-0.0001,0.0011,0.4490,0.6192,-0.3764,0.5228,0.0000,0.0050,0.0003,0.5275,0.4607,-0.7688,0.0586,0.0035,0.0780,0.0509,.6
41.3200,-0.0008,-0.0001,0.0011,0.4488,0.6194,-0.3769,0.5224,0.0012,0.0021,-0.0014,0.0621,-0.1429,-0.0861,-0.0162,0.0643,-0.0192,0.0207,.6
41.3400,-0.0009,-0.0001,0.0011,0.4488,0.6194,-0.3768,0.5224,-0.0047,0.0006,0.0010,-0.2976,-0.0778,0.1213,0.0000,0.0000,0.0000,0.0071,.6
41.3600,-0.0011,0.0000,0.0011,0.4486,0.6198,-0.3765,0.5224,-0.0105,0.0041,-0.0018,-0.2876,0.1760,-0.1429,0.0144,0.0134,0.0447,0.0441,.6
41.3800,-0.0012,0.0000,0.0011,0.4486,0.6198,-0.3765,0.5223,-0.0032,0.0008,-0.0006,0.3655,-0.1669,0.0630,0.0000,0.0000,0.0000,0.0061,.6
41.4000,-0.0013,0.0000,0.0011,0.4487,0.6199,-0.3765,0.5222,-0.0078,0.0002,-0.0014,-0.2334,-0.0255,-0.0396,0.0000,0.0000,0.0000,0.0042,.6
41.4200,-0.0017,0.0001,0.0010,0.4489,0.6203,-0.3762,0.5218,-0.0172,0.0028,-0.0030,-0.4672,0.1301,-0.0832,0.0559,0.0209,0.0045,0.0365,.6
41.4400,-0.0018,0.0001,0.0010,0.4490,0.6205,-0.3760,0.5216,-0.0056,0.0018,-0.0017,0.5767,-0.0511,0.0694,0.0000,0.0000,0.0000,0.0144,.6
41.4600,-0.0021,0.0003,0.0010,0.4489,0.6209,-0.3756,0.5215,-0.0143,0.0085,-0.0001,-0.4339,0.3357,0.0769,0.0325,0.0077,0.0356,0.0928,.6
41.4800,-0.0023,0.0004,0.0010,0.4491,0.6209,-0.3751,0.5216,-0.0104,0.0048,-0.0001,0.1934,-0.1849,0.0027,0.0305,-0.0339,0.0175,0.0445,.6
41.5000,-0.0026,0.0006,0.0009,0.4496,0.6211,-0.3744,0.5214,-0.0133,0.0087,-0.0049,-0.1405,0.1916,-0.2410,0.0740,-0.0208,0.0068,0.0897,.6
41.5200,-0.0026,0.0007,0.0008,0.4494,0.6214,-0.3744,0.5213,-0.0033,0.0091,-0.0043,0.4976,0.0237,0.0300,0.0000,0.0000,0.0000,0.0881,.6
41.5400,-0.0026,0.0013,0.0006,0.4485,0.6222,-0.3742,0.5212,0.0001,0.0264,-0.0077,0.1726,0.8625,-0.1721,-0.0066,0.0758,0.0985,0.2830,.6
41.5600,-0.0024,0.0025,0.0003,0.4463,0.6241,-0.3737,0.5212,0.0128,0.0619,-0.0150,0.6306,1.7755,-0.3643,-0.0067,0.1544,0.2465,0.7307,.6
41.5800,-0.0021,0.0035,0.0003,0.4455,0.6249,-0.3728,0.5216,0.0138,0.0514,-0.0033,0.0517,-0.5239,0.5862,0.0275,0.0071,0.1478,0.4763,.6
41.6000,-0.0010,0.0073,0.0001,0.4417,0.6273,-0.3704,0.5237,0.0536,0.1881,-0.0083,1.9899,6.8322,-0.2497,-0.0521,0.0310,0.5469,3.2386,.6
41.6200,-0.0002,0.0099,0.0001,0.4375,0.6294,-0.3705,0.5246,0.0420,0.1295,-0.0017,-0.5801,-2.9266,0.3306,-0.1959,0.2084,0.3835,0.8667,.6
41.6400,0.0006,0.0128,0.0001,0.4333,0.6321,-0.3698,0.5253,0.0405,0.1449,0.0033,-0.0733,0.7695,0.2465,-0.1042,0.2316,0.4447,1.5311,.6
41.6600,0.0025,0.0202,0.0015,0.4234,0.6344,-0.3637,0.5348,0.0914,0.3705,0.0670,2.5453,11.2777,3.1877,-0.4565,-0.3897,1.3982,8.2589,.6
41.6800,0.0030,0.0238,0.0020,0.4202,0.6351,-0.3612,0.5382,0.0261,0.1813,0.0250,-3.2641,-9.4573,-2.1005,-0.1282,-0.1617,0.4874,-0.0739,.6
41.7000,0.0033,0.0307,0.0028,0.4204,0.6348,-0.3526,0.5440,0.0146,0.3439,0.0432,-0.5789,8.1262,0.9084,0.2971,-0.7549,0.6504,6.1983,.6
41.7200,0.0034,0.0347,0.0033,0.4199,0.6350,-0.3476,0.5474,0.0081,0.1999,0.0216,-0.3254,-7.1956,-1.0774,0.1563,-0.3975,0.4243,0.4968,.6
41.7400,0.0046,0.0437,0.0038,0.4154,0.6378,-0.3364,0.5545,0.0610,0.4507,0.0269,2.6451,12.5390,0.2633,0.2649,-0.6145,1.2711,10.2416,.6
41.7600,0.0059,0.0492,0.0036,0.4114,0.6420,-0.3291,0.5570,0.0621,0.2742,-0.0094,0.0554,-8.8243,-1.8123,0.2794,-0.0871,0.9168,0.2907,.6
41.7800,0.0088,0.0603,0.0027,0.4014,0.6527,-0.3166,0.5591,0.1457,0.5526,-0.0472,4.1820,13.9205,-1.8919,0.5112,0.2723,1.8480,13.8133,.6
41.8000,0.0105,0.0662,0.0021,0.3952,0.6586,-0.3109,0.5598,0.0853,0.2995,-0.0286,-3.0190,-12.6568,0.9272,0.1827,0.2471,0.9777,-1.1368,.6
41.8200,0.0146,0.0813,0.0027,0.3807,0.6656,-0.3005,0.5673,0.2025,0.7504,0.0311,5.8562,22.5467,2.9882,-0.2095,-0.0548,2.0458,25.5605,.6
41.8400,0.0162,0.0884,0.0036,0.3785,0.6656,-0.2926,0.5728,0.0808,0.3593,0.0441,-6.0825,-19.5557,0.6492,0.1921,-0.6055,0.7677,-3.9648,.6
41.8600,0.0180,0.0957,0.0040,0.3750,0.6672,-0.2849,0.5771,0.0926,0.3627,0.0211,0.5890,0.1705,-1.1489,0.1979,-0.3761,0.8531,3.6506,.6
41.8800,0.0230,0.1119,0.0035,0.3626,0.6768,-0.2717,0.5802,0.2492,0.8115,-0.0251,7.8292,22.4358,-2.3132,0.3236,0.2004,2.0393,28.1751,.6
41.9000,0.0253,0.1197,0.0033,0.3560,0.6812,-0.2656,0.5820,0.1139,0.3898,-0.0116,-6.7629,-21.0810,0.6786,0.0822,0.0978,1.0080,-5.1721,.6
41.9200,0.0313,0.1381,0.0019,0.3385,0.6933,-0.2532,0.5837,0.3017,0.9214,-0.0716,9.3900,26.5783,-2.9995,0.0876,0.6033,2.3942,36.5761,.6
41.9400,0.0340,0.1472,0.0014,0.3305,0.6977,-0.2478,0.5854,0.1330,0.4542,-0.0236,-8.4350,-23.3591,2.3956,-0.0354,0.1625,1.0607,-7.3329,.6
41.9600,0.0392,0.1652,0.0009,0.3183,0.7050,-0.2334,0.5893,0.2595,0.8988,-0.0236,6.3242,22.2290,0.0028,0.3415,-0.0207,2.0286,30.4378,.6
41.9800,0.0417,0.1738,0.0006,0.3120,0.7088,-0.2265,0.5907,0.1240,0.4296,-0.0144,-6.7723,-23.4580,0.4606,0.1541,0.0518,1.0065,-6.7105,.6
42.0000,0.0445,0.1832,0.0001,0.3067,0.7135,-0.2181,0.5910,0.1401,0.4718,-0.0255,0.8018,2.1100,-0.5547,0.3849,0.1208,1.0175,5.7508,.6
42.0200,0.0495,0.2029,0.0003,0.2933,0.7205,-0.2013,0.5952,0.2516,0.9817,0.0086,5.5738,25.4929,1.7040,0.4323,-0.1129,2.2622,36.0737,.6
