timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,power,weight_label
41.24,-0.0004,-0.0001,0.0004,0.4465,0.6212,-0.3786,0.5209,-0.0106,-0.0029,0.0157,0.0,0.0,0.0,0.0,-0.184,-0.016,-0.007,0.6
41.26,-0.0006,-0.0001,0.0008,0.4475,0.6195,-0.3782,0.5224,-0.0106,-0.0029,0.0157,0.1623,0.0,0.0,0.0,-0.184,-0.016,-0.007,0.6
41.28,-0.0008,-0.0001,0.0011,0.4492,0.6186,-0.3772,0.5228,-0.0106,-0.0029,0.0157,0.1623,-0.0671,-0.0861,-0.0162,-0.184,-0.0192,-0.007,0.6
41.3,-0.0008,-0.0001,0.0011,0.449,0.6192,-0.3764,0.5228,-0.0047,0.0006,0.001,0.1623,-0.0671,-0.0861,0.0,0.0,-0.0192,0.0071,0.6
41.32,-0.0008,-0.0001,0.0011,0.4488,0.6194,-0.3769,0.5224,-0.0047,0.0021,0.0003,0.0621,-0.0671,-0.1429,0.0144,0.0035,0.0,0.0207,0.6
41.34,-0.0009,-0.0001,0.0011,0.4488,0.6194,-0.3768,0.5224,-0.0032,0.0021,-0.0006,0.0621,-0.0778,-0.0861,0.0,0.0035,0.0,0.0207,0.6
41.36,-0.0011,0.0,0.0011,0.4486,0.6198,-0.3765,0.5224,-0.0047,0.0008,-0.0014,-0.2334,-0.0778,-0.0396,0.0,0.0,0.0,0.0071,0.6
41.38,-0.0012,0.0,0.0011,0.4486,0.6198,-0.3765,0.5223,-0.0078,0.0008,-0.0014,-0.2876,-0.0255,-0.0396,0.0,0.0,0.0,0.0071,0.6
41.4,-0.0013,0.0,0.0011,0.4487,0.6199,-0.3765,0.5222,-0.0078,0.0018,-0.0017,-0.2334,-0.0255,-0.0396,0.0,0.0,0.0,0.0144,0.6
41.42,-0.0017,0.0001,0.001,0.4489,0.6203,-0.3762,0.5218,-0.0078,0.0018,-0.0014,-0.2334,-0.0255,0.063,0.0,0.0,0.0,0.0144,0.6
41.44,-0.0018,0.0001,0.001,0.449,0.6205,-0.376,0.5216,-0.0104,0.0028,-0.0014,-0.2334,-0.0255,0.0027,0.0305,0.0,0.0045,0.0365,0.6
41.46,-0.0021,0.0003,0.001,0.4489,0.6209,-0.3756,0.5215,-0.0133,0.0048,-0.0017,-0.1405,0.1301,0.0027,0.0325,0.0,0.0068,0.0445,0.6
41.48,-0.0023,0.0004,0.001,0.4491,0.6209,-0.3751,0.5216,-0.0104,0.0085,-0.0017,0.1934,0.0237,0.03,0.0305,0.0,0.0068,0.0881,0.6
41.5,-0.0026,0.0006,0.0009,0.4496,0.6211,-0.3744,0.5214,-0.0104,0.0087,-0.0043,0.1726,0.1916,0.0027,0.0305,0.0,0.0175,0.0897,0.6
41.52,-0.0026,0.0007,0.0008,0.4494,0.6214,-0.3744,0.5213,-0.0033,0.0091,-0.0049,0.1934,0.1916,-0.1721,0.0,0.0,0.0175,0.0897,0.6
41.54,-0.0026,0.0013,0.0006,0.4485,0.6222,-0.3742,0.5212,0.0001,0.0264,-0.0049,0.1726,0.1916,-0.1721,0.0,0.0071,0.0985,0.283,0.6
41.56,-0.0024,0.0025,0.0003,0.4463,0.6241,-0.3737,0.5212,0.0128,0.0514,-0.0077,0.4976,0.8625,-0.1721,-0.0066,0.031,0.1478,0.4763,0.6
41.58,-0.0021,0.0035,0.0003,0.4455,0.6249,-0.3728,0.5216,0.0138,0.0619,-0.0077,0.1726,0.8625,-0.1721,-0.0067,0.0758,0.2465,0.7307,0.6
41.6,-0.001,0.0073,0.0001,0.4417,0.6273,-0.3704,0.5237,0.0405,0.1295,-0.0033,0.0517,0.7695,0.2465,-0.0521,0.1544,0.3835,0.8667,0.6
41.62,-0.0002,0.0099,0.0001,0.4375,0.6294,-0.3705,0.5246,0.042,0.1449,-0.0017,0.0517,0.7695,0.3306,-0.1042,0.031,0.4447,1.5311,0.6
41.64,0.0006,0.0128,0.0001,0.4333,0.6321,-0.3698,0.5253,0.042,0.1813,0.0033,-0.0733,0.7695,0.2465,-0.1282,0.031,0.4874,1.5311,0.6
41.66,0.0025,0.0202,0.0015,0.4234,0.6344,-0.3637,0.5348,0.0405,0.1813,0.025,-0.5789,0.7695,0.3306,-0.1282,-0.1617,0.4874,1.5311,0.6
41.68,0.003,0.0238,0.002,0.4202,0.6351,-0.3612,0.5382,0.0261,0.1999,0.025,-0.3254,0.7695,0.2465,-0.1042,-0.3897,0.4874,1.5311,0.6
41.7,0.0033,0.0307,0.0028,0.4204,0.6348,-0.3526,0.544,0.0261,0.3439,0.0269,-0.3254,8.1262,0.2633,0.1563,-0.3975,0.6504,6.1983,0.6
41.72,0.0034,0.0347,0.0033,0.4199,0.635,-0.3476,0.5474,0.0261,0.2742,0.025,-0.3254,-7.1956,-1.0774,0.2649,-0.3975,0.6504,0.4968,0.6
41.74,0.0046,0.0437,0.0033,0.4154,0.6378,-0.3364,0.5545,0.061,0.3439,0.0216,0.0554,8.1262,-1.0774,0.2794,-0.3975,0.9168,6.1983,0.6
41.76,0.0059,0.0492,0.0033,0.4114,0.642,-0.3291,0.557,0.0621,0.2995,-0.0094,0.0554,-7.1956,-1.0774,0.2649,-0.0871,0.9777,0.4968,0.6
41.78,0.0088,0.0603,0.0027,0.4014,0.6527,-0.3166,0.5591,0.0853,0.4507,-0.0094,2.6451,12.539,0.2633,0.2649,-0.0548,1.2711,10.2416,0.6
41.8,0.0105,0.0662,0.0027,0.3952,0.6586,-0.3109,0.5598,0.0853,0.3593,-0.0094,0.0554,-8.8243,0.6492,0.1921,-0.0548,0.9777,0.2907,0.6
41.82,0.0146,0.0813,0.0027,0.3807,0.6656,-0.3005,0.5673,0.0926,0.3627,0.0211,0.589,0.1705,0.6492,0.1921,-0.0548,0.9777,3.6506,0.6
41.84,0.0162,0.0884,0.0035,0.3785,0.6656,-0.2926,0.5728,0.0926,0.3627,0.0211,0.589,0.1705,0.6492,0.1921,-0.0548,0.9777,3.6506,0.6
41.86,0.018,0.0957,0.0035,0.375,0.6672,-0.2849,0.5771,0.1139,0.3898,0.0211,0.589,0.1705,0.6492,0.1921,-0.0548,1.008,3.6506,0.6
41.88,0.023,0.1119,0.0035,0.3626,0.6768,-0.2717,0.5802,0.1139,0.3898,-0.0116,0.589,0.1705,-1.1489,0.1921,0.0978,1.008,3.6506,0.6
41.9,0.0253,0.1197,0.0033,0.356,0.6812,-0.2656,0.582,0.133,0.4542,-0.0236,0.589,0.1705,-1.1489,0.0876,0.1625,1.0607,3.6506,0.6
