timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,power,weight_label
14.4400,-0.0001,-0.0013,0.0008,0.3624,0.6940,-0.2501,0.5697,-0.0065,-0.0629,0.0421,-0.3248,-3.1433,2.1063,-0.4250,-0.0540,-0.1147,-0.3283,0.95
14.4600,-0.0001,-0.0014,0.0005,0.3648,0.6953,-0.2471,0.5678,0.0026,-0.0091,-0.0194,0.4558,2.6873,-3.0753,0.4462,0.0341,0.0069,-0.0532,0.95
14.4800,-0.0001,-0.0018,0.0004,0.3654,0.6952,-0.2469,0.5677,0.0002,-0.0183,-0.0020,-0.1201,-0.4575,0.8678,0.0508,-0.0199,-0.0423,-0.1726,0.95
14.5000,-0.0001,-0.0020,0.0005,0.3645,0.6946,-0.2482,0.5684,-0.0012,-0.0095,0.0065,-0.0731,0.4387,0.4245,-0.1745,-0.0152,-0.0175,-0.0945,0.95
14.5200,-0.0001,-0.0031,0.0006,0.3633,0.6935,-0.2512,0.5692,-0.0007,-0.0559,0.0046,0.0256,-2.3219,-0.0934,-0.3351,0.0233,-0.0999,-0.4193,0.95
14.5400,-0.0001,-0.0031,0.0005,0.3640,0.6943,-0.2497,0.5684,-0.0005,0.0016,-0.0085,0.0090,2.8774,-0.6555,0.1926,0.0298,0.0369,0.0261,0.95
14.5600,-0.0003,-0.0042,0.0000,0.3650,0.6962,-0.2489,0.5657,-0.0089,-0.0540,-0.0241,-0.4151,-2.7791,-0.7790,0.2534,0.2386,-0.0217,-0.3570,0.95
14.5800,-0.0004,-0.0043,0.0001,0.3641,0.6958,-0.2508,0.5661,-0.0059,-0.0080,0.0055,0.1481,2.2963,1.4815,-0.2044,0.0378,-0.0457,-0.0900,0.95
14.6000,-0.0009,-0.0049,0.0006,0.3630,0.6947,-0.2528,0.5672,-0.0225,-0.0282,0.0274,-0.8319,-1.0076,1.0908,-0.2697,-0.0333,-0.0493,-0.1996,0.95
14.6200,-0.0010,-0.0050,0.0008,0.3630,0.6944,-0.2527,0.5677,-0.0058,-0.0064,0.0074,0.8387,1.0905,-0.9975,-0.0161,-0.0461,0.0021,-0.0818,0.95
14.6400,-0.0015,-0.0059,0.0011,0.3653,0.6943,-0.2503,0.5673,-0.0277,-0.0435,0.0162,-1.0975,-1.8573,0.4375,0.3090,-0.1253,-0.0293,-0.3087,0.95
14.6600,-0.0016,-0.0060,0.0012,0.3653,0.6942,-0.2501,0.5675,-0.0041,-0.0073,0.0036,1.1808,1.8093,-0.6279,0.0000,0.0000,0.0000,-0.0924,0.95
14.6800,-0.0017,-0.0061,0.0012,0.3650,0.6942,-0.2503,0.5676,-0.0028,-0.0042,0.0016,0.0661,0.1585,-0.1004,0.0000,0.0000,0.0000,-0.0419,0.95
14.7000,-0.0019,-0.0065,0.0012,0.3650,0.6941,-0.2507,0.5676,-0.0093,-0.0207,0.0014,-0.3263,-0.8270,-0.0080,0.0000,0.0000,0.0000,-0.1830,0.95
14.7200,-0.0020,-0.0069,0.0012,0.3650,0.6942,-0.2509,0.5674,-0.0055,-0.0169,-0.0031,0.1919,0.1919,-0.2259,0.0000,0.0000,0.0000,-0.1691,0.95
14.7400,-0.0022,-0.0083,0.0005,0.3657,0.6955,-0.2512,0.5652,-0.0139,-0.0724,-0.0358,-0.4224,-2.7755,-1.6359,0.1272,0.2161,-0.0713,-0.4447,0.95
14.7600,-0.0023,-0.0088,0.0002,0.3654,0.6958,-0.2518,0.5647,-0.0018,-0.0225,-0.0136,0.6051,2.4921,1.1122,-0.0285,0.0790,-0.0104,-0.2935,0.95
14.7800,-0.0024,-0.0104,-0.0007,0.3630,0.6966,-0.2547,0.5640,-0.0082,-0.0795,-0.0425,-0.3184,-2.8473,-1.4460,-0.2985,0.2588,0.0081,-0.4894,0.95
14.8000,-0.0025,-0.0110,-0.0010,0.3624,0.6970,-0.2555,0.5636,-0.0024,-0.0324,-0.0180,0.2897,2.3559,1.2252,-0.0553,0.0941,-0.0032,-0.4165,0.95
14.8200,-0.0027,-0.0125,-0.0018,0.3634,0.6982,-0.2561,0.5611,-0.0085,-0.0743,-0.0417,-0.3050,-2.0975,-1.1867,0.1316,0.2377,-0.1248,-0.5211,0.95
14.8400,-0.0027,-0.0131,-0.0021,0.3629,0.6984,-0.2575,0.5606,-0.0039,-0.0292,-0.0114,0.2310,2.2563,1.5147,-0.0948,0.1076,-0.0457,-0.3705,0.95
14.8600,-0.0031,-0.0147,-0.0026,0.3604,0.6987,-0.2625,0.5594,-0.0160,-0.0815,-0.0255,-0.6077,-2.6149,-0.7044,-0.4455,0.3503,-0.1225,-0.5586,0.95
14.8800,-0.0035,-0.0158,-0.0026,0.3559,0.6985,-0.2663,0.5609,-0.0229,-0.0545,-0.0011,-0.3468,1.3495,1.2206,-0.5682,0.1347,0.1290,-0.6016,0.95
14.9000,-0.0037,-0.0163,-0.0026,0.3566,0.6981,-0.2647,0.5616,-0.0091,-0.0234,0.0020,0.6896,1.5545,0.1548,0.1074,-0.1360,0.0466,-0.2721,0.95
14.9200,-0.0041,-0.0174,-0.0027,0.3616,0.6980,-0.2600,0.5607,-0.0199,-0.0574,-0.0087,-0.5358,-1.7017,-0.5373,0.6410,-0.2494,-0.1101,-0.4505,0.95
14.9400,-0.0043,-0.0182,-0.0029,0.3621,0.6980,-0.2596,0.5606,-0.0120,-0.0408,-0.0053,0.3944,0.8327,0.1711,0.0457,-0.0105,-0.0136,-0.4398,0.95
14.9600,-0.0048,-0.0201,-0.0030,0.3602,0.6974,-0.2636,0.5607,-0.0229,-0.0951,-0.0072,-0.5454,-2.7138,-0.0948,-0.4060,0.1473,-0.1066,-0.6615,0.95
14.9800,-0.0052,-0.0218,-0.0030,0.3562,0.6965,-0.2676,0.5624,-0.0206,-0.0828,-0.0010,0.1136,0.6151,0.3126,-0.5907,0.0834,0.0641,-0.8655,0.95
15.0000,-0.0054,-0.0227,-0.0031,0.3559,0.6962,-0.2666,0.5635,-0.0095,-0.0444,-0.0043,0.5542,1.9187,-0.1675,0.0090,-0.1181,0.0929,-0.5252,0.95
15.0200,-0.0063,-0.0263,-0.0038,0.3623,0.6954,-0.2561,0.5652,-0.0433,-0.1835,-0.0353,-1.6908,-6.9544,-1.5509,1.0125,-0.7160,0.1654,-0.3959,0.95
15.0400,-0.0066,-0.0284,-0.0045,0.3647,0.6958,-0.2522,0.5651,-0.0179,-0.1040,-0.0344,1.2722,3.9727,0.0472,0.4195,-0.1721,0.0649,-1.4582,0.95
15.0600,-0.0065,-0.0295,-0.0053,0.3613,0.6970,-0.2583,0.5630,0.0044,-0.0540,-0.0400,1.1137,2.5010,-0.2825,-0.5111,0.5253,-0.1167,-0.6487,0.95
15.0800,-0.0071,-0.0345,-0.0070,0.3568,0.6978,-0.2654,0.5615,-0.0286,-0.2522,-0.0850,-1.6483,-9.9114,-2.2499,-0.6748,0.5201,-0.0984,0.2640,0.95
15.1000,-0.0077,-0.0393,-0.0090,0.3568,0.7012,-0.2722,0.5540,-0.0294,-0.2390,-0.1006,-0.0405,0.6598,-0.7778,-0.1180,0.9533,-0.4592,-2.4233,0.95
15.1200,-0.0080,-0.0413,-0.0099,0.3553,0.7037,-0.2751,0.5503,-0.0176,-0.0986,-0.0421,0.5920,7.0199,2.9260,-0.0786,0.5440,-0.0654,-1.7936,0.95
