timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,power,weight_label
3.08,0.0004,0.0,0.0,-0.0899,0.8242,-0.3757,0.4141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
3.1,0.0004,0.0,0.0,-0.0899,0.8242,-0.3757,0.4141,0.0031,-0.002,0.0006,0.0,0.0,0.0,0.0,-0.0199,-0.0253,-0.0025,3
3.12,0.001,-0.0008,0.0002,-0.0891,0.8217,-0.379,0.4162,0.0031,-0.009,0.0006,-0.0122,-0.0991,-0.0311,-0.0317,-0.0199,-0.068,-0.0878,3
3.14,0.001,-0.0009,0.0002,-0.089,0.8214,-0.3796,0.4162,0.0031,-0.0107,0.0,-0.0122,0.0252,-0.0311,-0.0504,-0.0092,-0.0668,-0.1088,3
3.16,0.001,-0.0012,0.0002,-0.0887,0.8219,-0.3802,0.4149,0.0031,-0.0112,-0.0077,-0.0122,-0.1086,-1.1152,-0.0504,-0.0092,-0.1005,-0.1088,3
3.18,0.001,-0.0014,0.0001,-0.0884,0.8216,-0.3812,0.4146,0.0029,-0.0107,-0.0077,-0.0122,0.0252,-1.1152,-0.0317,0.0268,-0.0668,-0.0878,3
3.2,0.0008,-0.0017,-0.001,-0.0881,0.8232,-0.3804,0.4121,-0.0032,-0.0107,-0.0077,-0.0122,-0.1086,0.4607,-0.0281,0.0268,-0.0668,-0.0318,3
3.22,0.0007,-0.0018,-0.0011,-0.0885,0.8233,-0.3803,0.4119,-0.0045,-0.0107,-0.0062,-0.0237,-0.1225,0.4607,-0.0211,-0.0092,-0.0668,-0.0318,3
3.24,0.0006,-0.0018,-0.0011,-0.0887,0.823,-0.3806,0.4121,-0.0045,-0.0097,-0.0062,-0.0237,-0.1225,-0.0133,-0.0066,0.0268,-0.0471,-0.0318,3
3.26,0.0005,-0.0025,-0.0012,-0.0872,0.8231,-0.3816,0.4116,-0.0032,-0.0035,-0.0062,0.0865,0.4973,0.1298,-0.0066,0.0,0.0,-0.0318,3
3.28,0.0005,-0.0027,-0.0013,-0.0871,0.8234,-0.3817,0.4108,-0.0032,-0.0035,-0.0038,0.0628,-0.1106,0.1298,-0.0042,0.0,0.0,-0.0318,3
3.3,0.0005,-0.0027,-0.0014,-0.0871,0.8235,-0.3815,0.4108,-0.0009,-0.0019,-0.0062,0.0865,0.0419,-0.0133,-0.0042,0.0,0.0,-0.0188,3
3.32,0.0005,-0.0027,-0.0014,-0.087,0.8235,-0.3815,0.4109,0.0003,-0.0011,-0.0064,0.0865,0.1511,-0.0133,0.0,0.0396,0.0,-0.0076,3
3.34,0.0005,-0.0027,-0.0016,-0.0873,0.8236,-0.3814,0.4107,0.0006,0.0003,-0.0078,0.0628,0.1369,-0.0589,0.0,0.037,0.0251,0.0023,3
3.36,0.0006,-0.0027,-0.0017,-0.0876,0.8237,-0.3812,0.4105,0.0006,0.0019,-0.0089,-0.0242,0.0419,-0.0635,0.0098,0.0396,0.0251,0.0196,3
3.38,0.0006,-0.0027,-0.0019,-0.0879,0.824,-0.3807,0.4103,0.0006,0.0019,-0.0099,-0.0448,0.0419,-0.0635,0.0098,0.0407,0.0251,0.0196,3
3.4,0.0006,-0.0027,-0.0023,-0.0883,0.8245,-0.3802,0.4096,0.0001,0.0019,-0.0102,-0.0693,0.1369,-0.0635,0.0098,0.0578,0.0149,0.0196,3
3.42,0.0006,-0.0026,-0.0025,-0.0883,0.8248,-0.3805,0.4089,-0.0005,0.002,-0.0121,-0.0448,0.1369,-0.0635,0.0234,0.0578,0.0149,0.0274,3
3.44,0.0005,-0.0026,-0.0028,-0.0886,0.8251,-0.3806,0.408,-0.0005,0.002,-0.0121,-0.0242,0.0739,0.0785,-0.0014,0.0578,0.0149,0.0274,3
3.46,0.0005,-0.0025,-0.0031,-0.0894,0.8254,-0.38,0.4078,-0.0008,0.0125,-0.0121,-0.0448,0.1861,0.0785,-0.0014,0.0578,0.0778,0.1309,3
3.48,0.0005,-0.0022,-0.0033,-0.0904,0.8254,-0.3796,0.4079,-0.0032,0.014,-0.0146,0.0128,0.1861,-0.1954,0.0085,0.1011,0.0778,0.1376,3
3.5,0.0002,-0.0016,-0.0045,-0.0924,0.8273,-0.378,0.4052,-0.0005,0.0276,-0.0121,0.1375,0.0739,0.0785,0.0085,0.0541,0.0978,0.2444,3
3.52,0.0002,-0.001,-0.0058,-0.0946,0.829,-0.3772,0.4019,-0.0002,0.0276,-0.0105,0.0576,-0.0896,0.0785,-0.0014,0.0342,0.1086,0.2507,3
